Compilando os programas...
Iniciando os testes...

CSV_DATA;computador: linux_erin; tam_vetor: 500; n_threads: 1; n_cpus: 6; resultado: 129.938225791454; tp: 0.0; ts: 0.000003;

CSV_DATA;computador: linux_erin; tam_vetor: 500; n_threads: 4; n_cpus: 6; resultado: 116.505278258509; tp: 0.000310; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 500; n_threads: 8; n_cpus: 6; resultado: 116.505278258509; tp: 0.000817; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 500; n_threads: 16; n_cpus: 6; resultado: 116.505278258509; tp: 0.001108; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 500; n_threads: 32; n_cpus: 6; resultado: 116.505278258509; tp: 0.002157; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 1000; n_threads: 1; n_cpus: 6; resultado: 257.718984057206; tp: 0.0; ts: 0.000013;

CSV_DATA;computador: linux_erin; tam_vetor: 1000; n_threads: 4; n_cpus: 6; resultado: 242.874257881719; tp: 0.001562; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 1000; n_threads: 8; n_cpus: 6; resultado: 242.874257881719; tp: 0.003074; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 1000; n_threads: 16; n_cpus: 6; resultado: 242.874257881719; tp: 0.002543; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 1000; n_threads: 32; n_cpus: 6; resultado: 242.874257881719; tp: 0.004061; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 5000; n_threads: 1; n_cpus: 6; resultado: 1211.657777716478; tp: 0.0; ts: 0.000018;

CSV_DATA;computador: linux_erin; tam_vetor: 5000; n_threads: 4; n_cpus: 6; resultado: 1273.259985628882; tp: 0.000881; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 5000; n_threads: 8; n_cpus: 6; resultado: 1273.259985628883; tp: 0.001491; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 5000; n_threads: 16; n_cpus: 6; resultado: 1273.259985628882; tp: 0.003046; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 5000; n_threads: 32; n_cpus: 6; resultado: 1273.259985628882; tp: 0.006185; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 10000; n_threads: 1; n_cpus: 6; resultado: 2495.883700719214; tp: 0.0; ts: 0.000034;

CSV_DATA;computador: linux_erin; tam_vetor: 10000; n_threads: 4; n_cpus: 6; resultado: 2515.600852961335; tp: 0.001130; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 10000; n_threads: 8; n_cpus: 6; resultado: 2515.600852961332; tp: 0.002055; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 10000; n_threads: 16; n_cpus: 6; resultado: 2515.600852961332; tp: 0.004509; ts: 0.0;

CSV_DATA;computador: linux_erin; tam_vetor: 10000; n_threads: 32; n_cpus: 6; resultado: 2515.600852961333; tp: 0.007665; ts: 0.0;
Testes finalizados!
